Name,RA,Dec,V-Mag,Spectrum
HIP 5661,1.212616,-37.856479,5.95,A9IV: (+F/G)
HIP 5679,1.21652,30.064229,6.24,G1V...
HIP 5688,1.219398,61.706188,6.4,B9V
Revati,1.228857,7.575354,5.21,A7IV
85Phi Psc,1.229152,24.583713,4.67,K0III...
86Zet Psc,1.22924,7.578261,6.44,F7V
HIP 5772,1.234695,28.529575,6.33,M2S SB
87    Psc,1.235453,16.133479,5.97,B8III
37    Cet,1.240011,-7.922826,5.14,F5V
88    Psc,1.245109,6.995136,6.04,G6III:
38    Cet,1.246992,-0.973795,5.7,F5V
Nu  Phe,1.253043,-45.531664,4.97,F8V
Kap Tuc,1.262704,-68.875927,4.25,F6IV
HIP 5926,1.269972,71.743842,5.87,K1V
HIP 5928,1.270176,87.145496,6.2,K2III:
HIP 5936,1.271922,33.11472,6.04,K1III
HIP 5947,1.275281,79.910013,6.27,F5Vs
39    Cet,1.276747,-2.500368,5.42,G5III-IVe
HIP 5992,1.284364,-66.397854,6.23,A0V
HIP 5993,1.284739,44.901992,6.11,K5
HIP 6025,1.290033,31.744617,6.36,K0
89    Psc,1.296654,3.614466,5.13,A3V
HIP 6087,1.302818,47.419706,6.29,K0
HIP 6093,1.303858,57.803166,6.39,M5
HIP 6140,1.313058,37.386275,6.44,A5m
90Ups Psc,1.324443,27.264059,4.74,A3V
42    Cet,1.330082,-0.509029,5.87,A7V...
34Phi Cas,1.334699,58.231611,4.95,F0Ia
HIP 6261,1.338733,77.570682,6.31,G5III...
HIP 6272,1.341058,-11.238999,6.16,K1III
HIP 6283,1.342937,-3.24699,6.26,K1III
35    Cas,1.35145,64.658131,6.33,A2Vnn
91    Psc,1.352047,28.738207,5.23,K5III
HIP 6378,1.366383,76.238804,6.37,F0IVn
Adhil,1.372337,45.528778,4.87,K0III-IV
HIP 6427,1.375134,-19.081208,6.35,F5/F6V
43    Cet,1.376342,-0.449673,6.5,K0III:
HIP 6432,1.376931,1.726332,6.21,M0III
HIP 6486,1.389264,58.142994,6.36,F4V
HIP 6492,1.390264,20.468967,5.97,K5
HIP 6502,1.391933,-30.945617,5.84,M0III
HIP 6512,1.393735,34.245887,6.28,G8IV
47    And,1.394612,37.714943,5.6,A1m
HIP 6522,1.396337,78.726056,6.07,A0Iab
45The Cet,1.40039,-8.183257,3.6,K0III
44    Cet,1.400705,-8.007416,6.21,F0V
HIP 6564,1.405695,-6.914656,5.92,F4V
HIP 6589,1.411092,-15.660468,6.17,G8III/IV
HIP 6592,1.411329,-41.492549,5.42,K0III
HIP 6595,1.411644,-44.528575,6.26,K1II
HIP 6605,1.413522,-2.84859,6.17,G8III
HIP 6631,1.418136,-64.369478,5.92,M0III
HIP 6669,1.426577,23.511519,6.18,F5III
46    Cet,1.427009,-14.598796,4.9,K2III
HIP 6685,1.42953,70.979887,6.34,A0Vnn
Ruchbah,1.430216,60.235283,2.66,A5Vv SB
HIP 6687,1.431212,-3.927391,6.5,K0
36Psi Cas,1.432208,68.130012,4.72,K0III
HIP 6702,1.435765,34.5797,6.34,F7V
93Rho Psc,1.437573,19.172346,5.35,F2V:var
HIP 6711,1.438517,43.457739,5.98,F7V
HIP 6714,1.439887,20.070804,6.44,K0
HIP 6717,1.44093,-0.399034,6.42,K0IV
94    Psc,1.44491,19.240422,5.5,K1III
47    Cet,1.447657,-13.056512,5.51,F0V
HIP 6776,1.451752,34.377552,6.27,F7IVsvar
HIP 6789,1.456475,-22.338232,6.43,K0/K1III
HIP 6794,1.457409,41.101158,6.42,Am...
48Ome And,1.460915,45.406687,4.83,F5IV
HIP 6822,1.462928,-10.901582,6.13,K0
Gam Phe,1.472759,-43.318234,3.41,K5II-III
HIP 6868,1.473032,7.961353,6.22,K1IIIvar
HIP 6952,1.491816,-46.756422,6.25,M3III
48    Cet,1.49337,-21.629339,5.11,A0V
HIP 6971,1.495226,-25.617749,6.37,K1III
97    Psc,1.498017,18.355669,6.01,A4IV
49    And,1.501695,47.007274,5.27,K0III
98Mu  Psc,1.503087,6.14382,4.84,K4III
HIP 7016,1.506362,-26.207851,5.92,K2III
HIP 7050,1.51446,66.098087,6.15,A2Vs
38    Cas,1.520444,70.264604,5.82,F6V
Del Phe,1.520851,-49.072702,3.93,K0III-IV
Alpherg,1.524725,15.345823,3.62,G8III
HIP 7115,1.527502,-45.575712,6.17,A2V
HIP 7118,1.52868,-30.283081,5.79,K0III
HIP 7147,1.535438,34.799962,6.39,B7IIIMNp...
HIP 7189,1.543438,-49.727713,6.27,F4V
HIP 7213,1.548903,-36.865231,5.49,K1/K2III
HIP 7243,1.555077,8.208738,6.31,K0
HIP 7251,1.557142,58.327334,5.69,K0Ib+...
HIP 7271,1.560901,-78.50482,6.11,G3IV
HIP 7276,1.561899,-7.025341,5.75,G2IV
HIP 7283,1.563487,89.015639,6.46,A3V
39Chi Cas,1.565528,59.23204,4.68,K0III
HIP 7321,1.571279,37.237146,5.9,B9IV
49    Cet,1.57716,-15.676359,5.62,A1V
HIP 7359,1.580296,18.460512,5.9,M2III
HIP 7361,1.580775,-31.892317,6.11,K0/K1III
HIP 7362,1.580922,-3.523889,6.44,K0
HIP 7363,1.580992,-23.699681,6.41,K2III
HIP 7387,1.587465,-58.139475,6.03,F2V
101    Psc,1.596234,14.661422,6.23,B9.5III
HIP 7443,1.597382,-39.947126,6.43,F3/F5V
HIP 7444,1.59793,41.07642,6.39,K1III
HIP 7447,1.598542,17.433841,5.95,F0IV
50    Cet,1.599713,-15.400183,5.41,K1III
Tau Scl,1.602361,-29.907317,5.69,F2V
HIP 7493,1.607557,48.722776,6.2,K1III:
HIP 7505,1.612091,7.831529,6.39,M0
HIP 7506,1.61244,-58.270966,6.18,M3III
Titawin,1.613299,41.405459,4.1,F8V
102Pi  Psc,1.61831,12.141535,5.54,F0V
HIP 7568,1.624389,-84.769593,5.66,K0III
HIP 7580,1.62714,-9.403782,6.24,F7V
Achernar,1.628556,-57.236757,0.45,B3Vp
HIP 7593,1.629778,64.739357,6.49,A6Iab
HIP 7597,1.63113,-3.440678,6.43,K5
HIP 7601,1.631959,-82.974995,5.88,G2V
Nembus,1.633205,48.628213,3.59,K3III
HIP 7617,1.635435,57.977631,5.55,G5II
HIP 7643,1.640968,-36.528251,5.94,K0III
40    Cas,1.641926,73.04004,5.28,G8II-IIIvar
HIP 7651,1.642174,45.399706,6.38,B9pe...
HIP 7679,1.647718,-21.275384,5.58,F0V
52Chi And,1.655835,44.386165,5.01,G8III...
105    Psc,1.661338,16.405858,5.98,K2III
p Eridani,1.663169,-56.1964,5.76,K0V
HIP 7786,1.670308,53.868278,6.35,K5III
53Tau And,1.676337,40.577049,4.96,B8III
HIP 7819,1.676368,8.760769,6.34,F2
HIP 7825,1.677674,43.297687,5.63,A9IV:
HIP 7874,1.688435,25.745712,6.2,F2III
Tau1Hyi,1.689256,-79.1482,6.33,G6/G8III
106Nu  Psc,1.690526,5.487613,4.45,K3III
HIP 7886,1.69092,-38.132827,6.2,F3/F5IV/V
HIP 7906,1.694233,30.04712,5.97,K0III
HIP 7916,1.695787,-11.324669,5.75,F5V+...
HIP 7918,1.696383,42.613369,4.96,G2V
HIP 7921,1.696655,-60.789339,5.7,K2/K3III
HIP 7941,1.700833,-36.832305,5.7,A0V
HIP 7943,1.700968,35.245707,5.63,B9IV-V
Pi  Scl,1.702389,-32.32697,5.25,K1II/III
HIP 7963,1.704915,58.627739,6.35,B8III
43    Cas,1.705688,68.043021,5.57,A0p SiSr
HIP 7978,1.708125,-53.740834,5.52,F8V
107    Psc,1.70827,20.268504,5.24,K1V
HIP 7999,1.712086,-3.6902,4.98,K3II-III
42    Cas,1.715493,70.622526,5.18,B9V
HIP 8020,1.7162,61.421073,6.33,B7II
